姓名,身份证号,学号,专业班级,C1,C2,C3,C4,C5
宋玲,530425XXXXXXXX4649,2023216077,物流管理23-1班,69,44,45,98,A
李桂香,220204XXXXXXXX5563,2023216078,化工23-1班,62,43,69,64,A+
刘丽华,542400XXXXXXXX9897,2023216079,化工23-1班,56,70,60,98,C-
李建平,152202XXXXXXXX8187,2023216080,食品23-2班,45,44,95,43,D+
夏淑英,231100XXXXXXXX0954,2023216081,城市地下空间23-1班,90,48,42,79,C-
郭玉,440802XXXXXXXX4813,2023216082,计算机23-3班,61,66,39,77,C
李秀华,410800XXXXXXXX6560,2023216083,自动化23-2班,53,66,37,91,B-
范桂珍,210900XXXXXXXX1423,2023216084,化工23-1班,75,71,42,55,C
黄成,140121XXXXXXXX709X,2023216085,环境23-3班,65,26,52,44,D
陈想,340828XXXXXXXX0243,2023216086,广告23-3班,100,60,44,66,C
陈建军,630102XXXXXXXX0926,2023216087,机械工程23-1班,90,89,64,53,B+
刘勇,653221XXXXXXXX5102,2023216088,法学23-3班,48,89,66,80,C-
张丽,340181XXXXXXXX6292,2023216089,新能源23-2班,99,74,88,78,B+
唐宇,130582XXXXXXXX0943,2023216090,化工23-2班,71,54,34,86,A-
张宇,610400XXXXXXXX5975,2023216091,新能源23-3班,78,91,96,46,C
荆淑兰,542229XXXXXXXX0975,2023216092,食品23-2班,77,32,29,75,B-
邢超,330603XXXXXXXX449X,2023216093,英语23-1班,63,66,21,46,A+
彭想,371700XXXXXXXX5755,2023216094,新能源23-2班,51,97,64,89,A+
陈杨,450222XXXXXXXX3236,2023216095,自动化23-2班,87,68,46,88,A+
张英,140200XXXXXXXX8540,2023216096,食品23-1班,74,54,40,79,C+
李欣,440784XXXXXXXX7752,2023216097,物流管理23-2班,71,92,73,59,B+
朱健,533123XXXXXXXX5825,2023216098,计算机23-3班,77,45,70,100,D-
蔡建国,411102XXXXXXXX0759,2023216099,电信科23-2班,58,66,30,93,B+
戴雪梅,130322XXXXXXXX869X,2023216100,英语23-1班,60,94,22,77,B-
张旭,371725XXXXXXXX3977,2023216101,化工23-2班,46,33,85,75,D+
宁磊,120113XXXXXXXX5555,2023216102,土木工程23-3班,91,48,62,83,C-
徐金凤,230405XXXXXXXX6399,2023216103,土木工程23-2班,89,45,29,45,D
彭辉,371082XXXXXXXX2026,2023216104,土木工程23-2班,89,85,44,85,D
苑洋,540233XXXXXXXX6863,2023216105,食品23-1班,83,77,24,62,B
徐霞,420922XXXXXXXX8375,2023216106,新媒体23-2班,95,30,83,75,B+
王宇,510105XXXXXXXX1306,2023216107,化工23-2班,54,78,36,74,A
刘彬,440608XXXXXXXX2344,2023216108,计算机23-2班,59,58,84,78,A-
陈丹,451424XXXXXXXX701X,2023216109,食品23-2班,63,67,83,36,C
吴海燕,341503XXXXXXXX9798,2023216110,经济23-2班,48,80,71,44,D-
宋利,510401XXXXXXXX2274,2023216111,环境23-2班,89,83,95,72,D
吴淑华,610628XXXXXXXX7312,2023216112,经济23-1班,47,99,32,38,C
尹柳,411426XXXXXXXX3044,2023216113,新能源23-3班,53,49,32,90,B+
覃桂芝,420200XXXXXXXX9023,2023216114,环境23-1班,96,59,65,86,A+
穆健,630000XXXXXXXX5912,2023216115,物流管理23-3班,76,80,92,71,E
卿飞,140930XXXXXXXX5477,2023216116,计算机23-3班,95,51,53,92,A+
张桂兰,530301XXXXXXXX9338,2023216117,新媒体23-2班,86,99,35,58,B
王秀珍,410311XXXXXXXX6060,2023216118,化工23-3班,95,80,46,40,A+
熊云,330411XXXXXXXX544X,2023216119,机械工程23-1班,95,61,33,91,A
李强,450924XXXXXXXX6642,2023216120,土木工程23-2班,85,27,17,44,D+
周建平,430801XXXXXXXX1496,2023216121,土木工程23-3班,83,55,45,71,D+
曹亮,431103XXXXXXXX7061,2023216122,新能源23-1班,90,88,78,56,C-
郑莹,511824XXXXXXXX3690,2023216123,计算机23-3班,94,89,65,82,C
段艳,350622XXXXXXXX7970,2023216124,计算机23-3班,68,33,73,81,C-
揭志强,320903XXXXXXXX1249,2023216125,广告23-3班,95,50,55,58,D+
李淑兰,820000XXXXXXXX7428,2023216126,物流管理23-2班,89,25,69,92,E
井彬,632700XXXXXXXX1582,2023216127,法学23-1班,98,31,22,72,C+
谢静,340803XXXXXXXX3664,2023216128,电信科23-3班,75,69,31,73,B
池小红,450325XXXXXXXX3501,2023216129,环境23-1班,74,76,56,35,A
李瑜,230708XXXXXXXX5433,2023216130,物流管理23-3班,76,72,41,43,A-
牛东,420506XXXXXXXX5272,2023216131,土木工程23-1班,50,38,20,80,C+
钟军,429006XXXXXXXX6500,2023216132,食品23-2班,66,59,37,48,C
刘瑜,421202XXXXXXXX3325,2023216133,计算机23-3班,61,49,77,94,D
孙丽,511701XXXXXXXX3676,2023216134,环境23-2班,79,87,29,79,C-
赵红霞,140321XXXXXXXX9635,2023216135,广告23-3班,85,99,88,79,A
阳兵,510726XXXXXXXX0824,2023216136,计算机23-2班,89,98,18,90,C
李芳,220403XXXXXXXX8512,2023216137,土木工程23-1班,65,30,64,85,B
赵桂香,130432XXXXXXXX2484,2023216138,食品23-1班,75,60,24,64,A
高勇,370104XXXXXXXX715X,2023216139,城市地下空间23-3班,79,49,99,82,B-
雷欣,610124XXXXXXXX0049,2023216140,自动化23-1班,65,50,35,86,E
丁欣,610112XXXXXXXX2320,2023216141,英语23-3班,51,69,23,45,A+
罗建军,520121XXXXXXXX1953,2023216142,机械工程23-3班,62,38,92,44,B+
韦畅,440900XXXXXXXX4316,2023216143,自动化23-1班,49,71,64,63,D-
张洁,610721XXXXXXXX9199,2023216144,化工23-3班,82,69,58,97,A-
覃建国,430382XXXXXXXX6758,2023216145,广告23-3班,77,66,17,70,C-
张玉英,320800XXXXXXXX2322,2023216146,机械工程23-3班,47,99,15,53,A-
匡玉珍,430000XXXXXXXX9387,2023216147,经济23-2班,85,31,56,36,D+
张桂兰,120225XXXXXXXX6348,2023216148,法学23-3班,81,36,100,35,C-
邱浩,130107XXXXXXXX5141,2023216149,法学23-3班,57,89,37,35,D
阎洋,360922XXXXXXXX4395,2023216150,法学23-2班,74,84,35,60,D
韩桂芳,430300XXXXXXXX0939,2023216151,城市地下空间23-1班,45,95,35,50,B+
邓秀珍,532323XXXXXXXX3475,2023216152,英语23-2班,72,40,39,78,B+
程佳,450902XXXXXXXX6749,2023216153,机械工程23-1班,81,37,59,54,D+
高瑜,411322XXXXXXXX0115,2023216154,机械工程23-1班,45,60,55,86,A-
袁军,460106XXXXXXXX8157,2023216155,城市地下空间23-3班,65,65,18,39,A
张文,522634XXXXXXXX700X,2023216156,计算机23-2班,70,63,72,95,C+
邓霞,341301XXXXXXXX1429,2023216157,经济23-1班,74,57,41,63,A
王旭,421002XXXXXXXX8534,2023216158,自动化23-1班,63,57,31,93,C+
陈桂英,341601XXXXXXXX2722,2023216159,机械工程23-1班,72,72,35,40,D
罗建华,610426XXXXXXXX4375,2023216160,计算机23-2班,51,63,99,73,C
朱杰,533321XXXXXXXX6361,2023216161,新媒体23-3班,53,46,24,42,A-
唐倩,130404XXXXXXXX4603,2023216162,土木工程23-1班,94,70,69,100,D-
李林,220701XXXXXXXX0172,2023216163,电信科23-2班,77,66,85,85,B
刘玉兰,340124XXXXXXXX9710,2023216164,计算机23-1班,84,36,25,78,C-
张利,441821XXXXXXXX5107,2023216165,经济23-1班,75,74,84,89,B+
王波,370684XXXXXXXX4159,2023216166,新能源23-2班,53,84,77,55,B
黄瑞,450502XXXXXXXX1749,2023216167,经济23-1班,87,67,52,87,B-
王静,431100XXXXXXXX3590,2023216168,电信科23-2班,76,53,26,79,D
刘秀荣,430811XXXXXXXX1812,2023216169,化工23-1班,61,57,70,40,E
陈坤,150902XXXXXXXX4531,2023216170,英语23-1班,58,30,98,40,B+
曹旭,520624XXXXXXXX5562,2023216171,广告23-2班,96,56,61,78,D
凌秀华,371724XXXXXXXX0388,2023216172,广告23-2班,68,31,71,83,D+
高秀芳,220501XXXXXXXX2190,2023216173,机械工程23-3班,54,71,88,82,E
刘斌,140428XXXXXXXX0241,2023216174,物流管理23-3班,52,92,46,82,E
张建华,511823XXXXXXXX3887,2023216175,自动化23-1班,61,99,53,83,A+
张辉,431124XXXXXXXX7672,2023216176,广告23-1班,59,26,91,88,B+
甘萍,542524XXXXXXXX4590,2023216177,城市地下空间23-2班,67,44,71,43,A-
王玉英,150925XXXXXXXX9343,2023216178,物流管理23-1班,77,80,86,59,B
詹东,451381XXXXXXXX3438,2023216179,法学23-1班,71,87,38,46,C+
张丽,510401XXXXXXXX2956,2023216180,化工23-3班,100,90,67,82,C-
许萍,430424XXXXXXXX5117,2023216181,食品23-2班,87,35,25,37,B
李超,445103XXXXXXXX8653,2023216182,经济23-2班,47,57,96,60,E
张雪,510921XXXXXXXX9663,2023216183,英语23-1班,75,85,47,70,D+
王淑华,331000XXXXXXXX3081,2023216184,新媒体23-2班,54,68,80,58,B+
廖兰英,411522XXXXXXXX8787,2023216185,城市地下空间23-2班,65,52,61,63,A
王华,150623XXXXXXXX4030,2023216186,自动化23-3班,60,32,63,73,D-
梁阳,330401XXXXXXXX7004,2023216187,经济23-3班,60,69,71,60,A
周晨,630222XXXXXXXX5399,2023216188,物流管理23-2班,83,68,20,65,C-
罗婷,451026XXXXXXXX9328,2023216189,机械工程23-3班,67,90,21,40,D-
陆婷婷,331102XXXXXXXX8807,2023216190,法学23-1班,72,60,84,86,D
刘桂花,621222XXXXXXXX1655,2023216191,新能源23-1班,80,67,94,39,A-
蒙秀芳,630221XXXXXXXX782X,2023216192,环境23-2班,91,77,58,88,B+
赵佳,420922XXXXXXXX984X,2023216193,电信科23-2班,67,73,94,93,C
胡坤,330901XXXXXXXX6523,2023216194,城市地下空间23-2班,55,92,25,56,C
姜杰,533103XXXXXXXX8572,2023216195,化工23-2班,75,49,81,38,B+
王明,220281XXXXXXXX7265,2023216196,新媒体23-1班,72,57,34,51,C
陈伟,510182XXXXXXXX0326,2023216197,广告23-1班,74,45,94,53,A+
冯冬梅,370831XXXXXXXX0128,2023216198,计算机23-2班,90,88,47,94,A-
邓强,350627XXXXXXXX5253,2023216199,经济23-3班,64,89,95,91,C+
廖建平,621123XXXXXXXX5741,2023216200,物流管理23-3班,68,58,36,60,E
李龙,140430XXXXXXXX0108,2023216201,计算机23-1班,98,92,89,77,C+
王淑英,210682XXXXXXXX1041,2023216202,经济23-1班,59,58,58,74,D
尤洋,370211XXXXXXXX8813,2023216203,电信科23-1班,91,44,84,63,C-
马俊,230714XXXXXXXX1721,2023216204,物流管理23-2班,50,83,43,58,D
梅丽华,440512XXXXXXXX7341,2023216205,自动化23-3班,91,41,96,39,D
全倩,320611XXXXXXXX2694,2023216206,物流管理23-2班,53,40,89,83,A
乐鹏,340823XXXXXXXX7512,2023216207,机械工程23-3班,88,83,50,51,B
赵静,542525XXXXXXXX9601,2023216208,英语23-1班,69,26,39,56,B
翁欣,370812XXXXXXXX7617,2023216209,计算机23-3班,48,87,97,35,A
曹玉英,430528XXXXXXXX3925,2023216210,自动化23-1班,98,36,25,42,B
赵峰,530622XXXXXXXX6257,2023216211,食品23-1班,55,76,59,69,C
李楠,421126XXXXXXXX8947,2023216212,环境23-1班,92,79,58,40,C+
谭强,630103XXXXXXXX1295,2023216213,新能源23-2班,63,33,75,46,B+
余帆,210000XXXXXXXX852X,2023216214,食品23-1班,66,56,69,93,E
童燕,513338XXXXXXXX1079,2023216215,机械工程23-2班,92,33,55,76,D-
袁刚,330400XXXXXXXX9017,2023216216,食品23-3班,84,29,86,58,B+
杨桂兰,140322XXXXXXXX1666,2023216217,计算机23-2班,55,85,78,86,A
李玉珍,610481XXXXXXXX0224,2023216218,物流管理23-1班,79,52,32,47,C+
林婷婷,431102XXXXXXXX9009,2023216219,新媒体23-2班,92,34,67,42,A-
谭平,442000XXXXXXXX0170,2023216220,电信科23-3班,60,48,81,78,D
胡琳,440000XXXXXXXX6186,2023216221,新媒体23-1班,48,83,59,58,D-
金健,430529XXXXXXXX6369,2023216222,物流管理23-3班,77,42,58,42,E
许秀荣,141129XXXXXXXX7895,2023216223,电信科23-1班,51,60,17,78,D+
温宁,360727XXXXXXXX864X,2023216224,物流管理23-2班,89,47,78,63,A
王强,530625XXXXXXXX2471,2023216225,物流管理23-3班,92,37,98,91,C+
韩颖,410185XXXXXXXX1195,2023216226,广告23-1班,73,96,31,73,E
龚小红,130525XXXXXXXX3158,2023216227,法学23-2班,57,43,39,47,D
袁冬梅,211004XXXXXXXX7896,2023216228,计算机23-2班,48,81,39,87,A+
杨桂珍,632722XXXXXXXX1863,2023216229,经济23-3班,93,44,32,50,B+
朱慧,440781XXXXXXXX994X,2023216230,自动化23-2班,50,75,45,79,B-
郑雷,220381XXXXXXXX0449,2023216231,环境23-1班,62,75,94,90,A
丁辉,141024XXXXXXXX3868,2023216232,环境23-2班,72,72,84,92,A+
蒋婷,330411XXXXXXXX8040,2023216233,新媒体23-2班,92,92,78,97,A+
黄秀芳,140928XXXXXXXX3047,2023216234,法学23-3班,66,69,98,77,E
葛强,532529XXXXXXXX7412,2023216235,机械工程23-1班,83,31,19,98,A
江海燕,310117XXXXXXXX0508,2023216236,新能源23-1班,46,100,53,65,E
倪红霞,469006XXXXXXXX2687,2023216237,食品23-1班,53,90,54,99,C-
王鑫,620922XXXXXXXX066X,2023216238,新媒体23-2班,91,50,64,46,A-
黄玉英,350681XXXXXXXX8302,2023216239,环境23-1班,82,92,82,36,C-
田柳,130283XXXXXXXX6526,2023216240,英语23-3班,52,38,42,43,C-
翁玉华,350103XXXXXXXX9326,2023216241,城市地下空间23-3班,56,62,31,50,B
王秀英,441481XXXXXXXX5860,2023216242,食品23-3班,55,64,94,45,D
刘雪,530126XXXXXXXX8917,2023216243,城市地下空间23-2班,57,61,50,64,B
李阳,620321XXXXXXXX4409,2023216244,新能源23-1班,54,87,82,65,C
孙琳,430200XXXXXXXX2081,2023216245,物流管理23-1班,75,77,18,52,B-
张秀荣,120102XXXXXXXX1973,2023216246,计算机23-3班,63,74,69,97,D+
刘莉,422823XXXXXXXX1980,2023216247,新能源23-2班,48,100,38,37,A+
李荣,130121XXXXXXXX4332,2023216248,机械工程23-3班,63,32,82,57,B+
范文,511421XXXXXXXX7337,2023216249,法学23-3班,47,100,41,94,A+
张淑华,511322XXXXXXXX6903,2023216250,自动化23-1班,76,35,94,66,C-
何荣,370901XXXXXXXX2451,2023216251,环境23-1班,63,78,33,72,D-
曾秀荣,231084XXXXXXXX3765,2023216252,英语23-1班,89,93,68,56,E
邹艳,370832XXXXXXXX5626,2023216253,城市地下空间23-2班,77,63,60,61,B+
朱倩,371403XXXXXXXX8531,2023216254,新媒体23-3班,90,99,37,63,C
孙勇,320682XXXXXXXX5308,2023216255,土木工程23-2班,82,68,93,86,D
王秀英,120105XXXXXXXX7782,2023216256,新能源23-2班,57,30,97,84,B-
陈燕,130828XXXXXXXX9145,2023216257,英语23-2班,64,90,50,40,B
刘勇,421221XXXXXXXX883X,2023216258,广告23-3班,85,65,23,87,D
姬玉华,150525XXXXXXXX3660,2023216259,化工23-1班,45,42,53,86,B+
王伟,220402XXXXXXXX6593,2023216260,化工23-2班,60,97,59,78,B-
朱平,450921XXXXXXXX4791,2023216261,化工23-1班,73,91,60,100,D+
沈东,530428XXXXXXXX2990,2023216262,新能源23-3班,72,71,18,93,C-
耿欢,340401XXXXXXXX1751,2023216263,机械工程23-1班,81,71,93,89,B-
李桂荣,610702XXXXXXXX2221,2023216264,新能源23-1班,46,47,47,44,D-
李丹丹,360301XXXXXXXX029X,2023216265,电信科23-1班,76,56,29,94,A+
向佳,350429XXXXXXXX6814,2023216266,机械工程23-3班,60,72,92,67,D-
陈淑华,321002XXXXXXXX7418,2023216267,新能源23-3班,79,62,34,42,D+
屠慧,610203XXXXXXXX5005,2023216268,化工23-2班,76,64,81,68,C+
刘琳,433123XXXXXXXX3362,2023216269,新能源23-1班,92,70,92,83,B
鞠勇,530302XXXXXXXX1600,2023216270,经济23-2班,83,79,57,69,B+
彭红霞,430223XXXXXXXX0193,2023216271,自动化23-2班,92,31,55,72,A+
陈淑珍,430902XXXXXXXX0591,2023216272,法学23-3班,48,72,42,46,E
王莹,341700XXXXXXXX9749,2023216273,化工23-1班,83,93,78,53,B
冯兰英,410801XXXXXXXX8472,2023216274,土木工程23-2班,97,48,38,48,B-
严荣,441226XXXXXXXX3843,2023216275,新能源23-1班,89,89,89,38,C+
曾秀荣,450311XXXXXXXX5961,2023216276,自动化23-1班,100,94,56,82,A
韩桂芳,450881XXXXXXXX5738,2023216277,电信科23-1班,71,99,36,48,C-
方林,450602XXXXXXXX5211,2023216278,化工23-3班,92,73,54,60,C-
凌秀珍,341322XXXXXXXX8025,2023216279,新媒体23-2班,49,35,50,88,C+
陈军,532800XXXXXXXX1640,2023216280,化工23-3班,70,31,61,67,B-
孔兵,370602XXXXXXXX5658,2023216281,电信科23-2班,77,69,26,89,B
张宇,350922XXXXXXXX0934,2023216282,经济23-1班,91,71,91,58,D-
李凯,520524XXXXXXXX4383,2023216283,食品23-2班,81,91,87,53,C-
李秀兰,450222XXXXXXXX5452,2023216284,城市地下空间23-2班,56,58,84,92,A
吴帅,140000XXXXXXXX1037,2023216285,物流管理23-1班,69,67,59,70,A+
刘利,510781XXXXXXXX2820,2023216286,新能源23-1班,76,84,64,48,E
张华,441625XXXXXXXX3755,2023216287,新媒体23-3班,49,79,83,96,A-
王明,530321XXXXXXXX7997,2023216288,法学23-3班,100,89,50,72,C+
任雪梅,610122XXXXXXXX6637,2023216289,机械工程23-1班,62,67,40,95,B-
吴金凤,611023XXXXXXXX2178,2023216290,计算机23-2班,100,53,19,58,C-
支敏,220503XXXXXXXX0434,2023216291,食品23-2班,99,100,45,65,E
王俊,542123XXXXXXXX1359,2023216292,城市地下空间23-3班,70,93,78,37,D-
杨荣,131001XXXXXXXX366X,2023216293,电信科23-3班,90,60,95,58,A-
王静,370300XXXXXXXX314X,2023216294,化工23-2班,74,52,82,88,A-
袁丽华,331124XXXXXXXX5564,2023216295,物流管理23-1班,97,36,69,61,D
朱伟,130423XXXXXXXX2201,2023216296,土木工程23-2班,65,25,97,97,A-
朱慧,532530XXXXXXXX3334,2023216297,英语23-3班,69,30,84,38,C+
李淑华,331002XXXXXXXX3609,2023216298,计算机23-2班,49,88,95,43,C+
李林,350103XXXXXXXX9407,2023216299,英语23-2班,59,32,98,43,C
夏丹丹,654322XXXXXXXX0491,2023216300,新能源23-2班,63,88,71,49,A+
陆敏,530112XXXXXXXX2563,2023216301,自动化23-1班,66,85,53,97,C-
高浩,511901XXXXXXXX3231,2023216302,自动化23-1班,62,47,45,86,B+
胡桂花,420204XXXXXXXX9546,2023216303,法学23-2班,52,99,88,74,E
李桂兰,130481XXXXXXXX8056,2023216304,计算机23-2班,56,33,53,92,A-
萧淑珍,220881XXXXXXXX6731,2023216305,食品23-2班,93,94,87,99,B
郑娟,341881XXXXXXXX7314,2023216306,电信科23-1班,64,37,29,61,B+
张雪梅,140122XXXXXXXX5991,2023216307,法学23-1班,51,88,35,78,B-
李亮,530502XXXXXXXX8852,2023216308,化工23-2班,74,28,96,77,A+
张秀荣,360823XXXXXXXX2767,2023216309,英语23-2班,96,37,59,42,B+
刘艳,371403XXXXXXXX9352,2023216310,新能源23-2班,71,63,67,71,A-
魏勇,451200XXXXXXXX9589,2023216311,广告23-2班,63,90,58,96,B
邢秀梅,230710XXXXXXXX7481,2023216312,机械工程23-1班,71,79,45,92,B+
王婷婷,530524XXXXXXXX0260,2023216313,自动化23-2班,60,54,45,71,C+
王建平,533422XXXXXXXX0625,2023216314,环境23-1班,80,39,21,79,C-
毛帅,230281XXXXXXXX5017,2023216315,广告23-1班,62,94,23,97,A+
许超,441303XXXXXXXX7740,2023216316,自动化23-2班,77,80,18,68,B-
尚利,350782XXXXXXXX2883,2023216317,经济23-3班,91,90,74,65,D
赵金凤,130602XXXXXXXX4544,2023216318,电信科23-2班,85,93,60,57,E
李玉兰,511703XXXXXXXX9051,2023216319,城市地下空间23-1班,69,69,50,59,E
韦宇,350823XXXXXXXX2021,2023216320,化工23-3班,90,51,41,53,C-
石秀云,321112XXXXXXXX8332,2023216321,环境23-3班,70,87,81,99,D-
陈玉英,652222XXXXXXXX7166,2023216322,广告23-3班,86,52,25,80,D+
杨萍,420222XXXXXXXX1736,2023216323,广告23-2班,85,62,46,96,B-
龙玉华,150200XXXXXXXX1219,2023216324,新能源23-1班,51,70,46,39,C+
李勇,410200XXXXXXXX3605,2023216325,经济23-2班,54,40,78,55,A-
杨晨,341001XXXXXXXX1841,2023216326,新能源23-2班,75,83,38,66,B
熊柳,130804XXXXXXXX6489,2023216327,物流管理23-1班,96,81,93,96,C
刘博,340304XXXXXXXX9112,2023216328,广告23-3班,98,28,25,39,C
温龙,371423XXXXXXXX714X,2023216329,法学23-3班,67,35,66,46,A
阎娟,610724XXXXXXXX0757,2023216330,城市地下空间23-2班,58,93,49,46,B-
钟莹,440401XXXXXXXX3373,2023216331,物流管理23-3班,99,100,34,96,A+
吴杨,530701XXXXXXXX4137,2023216332,食品23-1班,96,81,35,49,B-
李颖,520600XXXXXXXX7767,2023216333,机械工程23-1班,56,64,51,35,D
刘英,321101XXXXXXXX3542,2023216334,电信科23-3班,52,61,34,44,A+
