姓名,身份证号,学号,专业班级,C1,C2,C3,C4,C5
江秀芳,500119XXXXXXXX4210,2024216051,经济23-1班,84,100,17,55,D
史秀梅,450521XXXXXXXX5185,2024216052,化工23-2班,55,90,41,86,A+
龙雷,330681XXXXXXXX2535,2024216053,新能源23-2班,46,31,71,49,B+
何红,140922XXXXXXXX7744,2024216054,环境23-3班,49,84,47,74,C
林洋,640324XXXXXXXX9407,2024216055,新能源23-1班,54,67,91,50,B-
粟瑜,360281XXXXXXXX7109,2024216056,城市地下空间23-1班,70,97,15,90,C
杨杰,620500XXXXXXXX6322,2024216057,土木工程23-3班,95,42,58,75,E
陆楠,430529XXXXXXXX8740,2024216058,英语23-1班,90,36,90,86,B+
王玉华,431000XXXXXXXX0601,2024216059,法学23-1班,69,26,91,88,B
杜丽丽,530722XXXXXXXX675X,2024216060,新媒体23-1班,74,79,18,66,C-
姚帆,540200XXXXXXXX6455,2024216061,食品23-3班,56,39,83,50,D-
陈莹,370301XXXXXXXX4279,2024216062,化工23-2班,72,57,20,69,A+
张帆,231223XXXXXXXX7208,2024216063,城市地下空间23-1班,53,32,72,71,D
邝帅,410581XXXXXXXX740X,2024216064,食品23-2班,80,79,70,88,B-
郑强,140525XXXXXXXX3222,2024216065,物流管理23-3班,71,32,61,41,A-
黄冬梅,320600XXXXXXXX1606,2024216066,英语23-2班,66,72,33,63,C
王桂芝,610112XXXXXXXX5307,2024216067,新能源23-1班,68,91,56,58,C-
吴倩,152527XXXXXXXX4949,2024216068,新能源23-3班,47,44,75,57,C
王莹,620321XXXXXXXX8961,2024216069,食品23-1班,82,57,86,82,B+
王荣,532525XXXXXXXX0178,2024216070,食品23-1班,88,84,40,35,B+
唐欣,430723XXXXXXXX106X,2024216071,广告23-1班,97,47,70,36,B
李荣,410600XXXXXXXX1611,2024216072,食品23-3班,94,58,91,75,D+
张敏,341821XXXXXXXX480X,2024216073,自动化23-2班,98,95,47,65,A+
罗燕,150302XXXXXXXX1931,2024216074,机械工程23-1班,93,50,76,100,A+
丁娜,361126XXXXXXXX642X,2024216075,新媒体23-1班,71,39,23,97,C+
张鑫,140225XXXXXXXX0116,2024216076,新能源23-1班,58,73,32,55,B
周杰,520381XXXXXXXX7388,2024216077,计算机23-3班,87,33,16,56,C
顾金凤,411325XXXXXXXX1933,2024216078,城市地下空间23-3班,100,31,33,63,C+
申莹,220582XXXXXXXX1297,2024216079,新媒体23-3班,80,36,29,86,B-
戚桂兰,230400XXXXXXXX5341,2024216080,自动化23-2班,92,70,22,48,E
王欣,540222XXXXXXXX9043,2024216081,新媒体23-3班,86,62,70,99,B+
李东,230803XXXXXXXX9529,2024216082,电信科23-3班,46,98,60,50,A
李宇,632723XXXXXXXX156X,2024216083,英语23-2班,92,75,55,75,D-
李秀云,330300XXXXXXXX5409,2024216084,法学23-2班,85,28,32,87,B-
左欢,130304XXXXXXXX8925,2024216085,计算机23-1班,76,50,76,87,D
陈晶,411623XXXXXXXX2223,2024216086,英语23-2班,62,80,29,67,B-
陈玉英,152224XXXXXXXX287X,2024216087,化工23-3班,96,68,68,98,C+
梁琴,451425XXXXXXXX9299,2024216088,英语23-3班,80,47,21,88,B
魏楠,511011XXXXXXXX6932,2024216089,环境23-3班,48,87,67,42,C-
孙文,430725XXXXXXXX1860,2024216090,英语23-2班,47,69,20,94,D
赵秀英,630123XXXXXXXX0472,2024216091,土木工程23-3班,58,26,67,53,C-
宋龙,610827XXXXXXXX5025,2024216092,环境23-3班,54,67,81,60,D+
门志强,230201XXXXXXXX2714,2024216093,电信科23-1班,77,95,47,57,D+
徐秀兰,632200XXXXXXXX5345,2024216094,土木工程23-1班,77,82,53,88,B-
郭桂芳,620121XXXXXXXX1926,2024216095,法学23-3班,63,67,24,85,A-
张勇,360681XXXXXXXX5271,2024216096,计算机23-2班,59,63,16,55,B+
郭玉华,140201XXXXXXXX7209,2024216097,英语23-2班,66,61,45,60,E
韩璐,530100XXXXXXXX587X,2024216098,土木工程23-1班,88,79,52,75,D
李楠,310106XXXXXXXX809X,2024216099,广告23-1班,82,37,15,100,B-
曾瑜,231281XXXXXXXX9481,2024216100,机械工程23-3班,85,84,88,76,D
贾英,522729XXXXXXXX3028,2024216101,经济23-2班,61,43,66,70,D-
赵霞,210211XXXXXXXX147X,2024216102,计算机23-1班,46,86,66,86,D+
莫飞,230901XXXXXXXX2805,2024216103,化工23-3班,96,44,28,62,C+
颜芳,130731XXXXXXXX1472,2024216104,新媒体23-1班,57,77,88,52,B-
赵丹丹,140702XXXXXXXX0359,2024216105,新能源23-3班,82,69,93,99,A+
陈俊,410101XXXXXXXX0046,2024216106,电信科23-2班,80,100,53,73,B
钟艳,331181XXXXXXXX3496,2024216107,自动化23-1班,80,67,71,72,C+
张彬,632624XXXXXXXX1893,2024216108,化工23-1班,78,59,17,75,A-
李晨,321281XXXXXXXX5588,2024216109,英语23-1班,88,36,90,61,B
张龙,440904XXXXXXXX7289,2024216110,城市地下空间23-2班,98,94,96,75,B+
房凯,620822XXXXXXXX0652,2024216111,新媒体23-3班,62,43,38,91,A-
管涛,410500XXXXXXXX8825,2024216112,新媒体23-1班,62,86,92,45,B-
袁欢,513221XXXXXXXX4071,2024216113,机械工程23-3班,76,31,20,83,D
赵成,500232XXXXXXXX530X,2024216114,化工23-3班,81,67,77,78,C+
罗凤英,211400XXXXXXXX2217,2024216115,广告23-3班,65,56,49,43,A+
韩淑兰,510114XXXXXXXX4545,2024216116,法学23-3班,75,34,51,69,B
宋玉兰,371428XXXXXXXX4896,2024216117,土木工程23-3班,47,86,28,47,A
郑婷婷,150428XXXXXXXX2243,2024216118,经济23-3班,80,49,43,63,B+
刘秀华,211224XXXXXXXX8854,2024216119,法学23-2班,84,31,42,73,A+
方静,522726XXXXXXXX3886,2024216120,经济23-1班,79,61,53,97,D-
严宇,330102XXXXXXXX637X,2024216121,英语23-2班,55,36,17,58,A-
邓小红,150782XXXXXXXX1451,2024216122,物流管理23-2班,72,60,60,55,C+
薛冬梅,220283XXXXXXXX8176,2024216123,物流管理23-1班,70,70,69,54,C-
李建华,430302XXXXXXXX0703,2024216124,新能源23-1班,97,71,76,41,C
叶玉梅,150404XXXXXXXX7073,2024216125,自动化23-2班,89,92,97,39,C-
傅丽华,340207XXXXXXXX6456,2024216126,法学23-1班,86,76,35,58,B-
王丹,520323XXXXXXXX3123,2024216127,法学23-1班,98,41,54,57,A+
熊冬梅,451422XXXXXXXX5208,2024216128,城市地下空间23-3班,70,66,19,72,C
张明,510131XXXXXXXX5458,2024216129,英语23-3班,96,53,85,45,B-
李鹏,410500XXXXXXXX2752,2024216130,电信科23-2班,92,49,47,57,A+
杨凤英,330523XXXXXXXX1749,2024216131,法学23-1班,64,66,97,66,A
王磊,350181XXXXXXXX3924,2024216132,物流管理23-3班,46,77,86,44,D+
周玉华,430703XXXXXXXX6375,2024216133,环境23-1班,80,33,73,63,B+
崔娜,371621XXXXXXXX9621,2024216134,电信科23-2班,89,98,29,100,D
吴秀梅,340600XXXXXXXX7623,2024216135,英语23-1班,66,41,40,55,D+
杨勇,410481XXXXXXXX1536,2024216136,土木工程23-3班,55,71,35,41,A+
高峰,230521XXXXXXXX7338,2024216137,土木工程23-1班,60,72,21,41,B+
高平,440804XXXXXXXX4503,2024216138,城市地下空间23-1班,83,82,69,87,B+
党桂香,511100XXXXXXXX511X,2024216139,新能源23-2班,51,31,26,51,C+
龙秀英,350824XXXXXXXX4527,2024216140,电信科23-3班,92,61,56,90,C-
权玉珍,370481XXXXXXXX5985,2024216141,机械工程23-1班,60,71,57,38,D+
吴娟,632726XXXXXXXX1695,2024216142,广告23-2班,97,62,89,52,C-
段柳,131100XXXXXXXX5048,2024216143,环境23-2班,53,35,93,58,D
王勇,420921XXXXXXXX9947,2024216144,广告23-3班,48,33,79,84,B
向岩,522300XXXXXXXX5436,2024216145,化工23-2班,89,90,27,98,D-
韦小红,530402XXXXXXXX3292,2024216146,经济23-1班,79,73,38,46,A
徐涛,370923XXXXXXXX901X,2024216147,食品23-3班,88,51,69,77,B-
彭洋,450321XXXXXXXX984X,2024216148,城市地下空间23-2班,71,44,21,82,B
陈艳,320923XXXXXXXX3567,2024216149,食品23-1班,96,72,75,47,D+
陈淑华,430800XXXXXXXX6495,2024216150,土木工程23-3班,53,97,16,52,C-
孙金凤,371324XXXXXXXX2716,2024216151,机械工程23-1班,47,97,50,38,B+
徐丽丽,451228XXXXXXXX1218,2024216152,物流管理23-2班,74,71,17,48,D-
杨玲,230600XXXXXXXX9461,2024216153,电信科23-3班,59,75,52,95,D+
王帆,450922XXXXXXXX4794,2024216154,英语23-1班,54,86,34,68,C+
王桂兰,130423XXXXXXXX4101,2024216155,机械工程23-3班,98,68,93,93,A
孙建,130824XXXXXXXX4402,2024216156,法学23-2班,95,95,52,71,D-
陈建,150801XXXXXXXX7130,2024216157,自动化23-3班,82,97,37,61,B
张丽丽,620522XXXXXXXX1993,2024216158,英语23-2班,80,40,78,61,B+
孙艳,340601XXXXXXXX5959,2024216159,食品23-2班,65,47,80,64,B-
王玉英,211324XXXXXXXX9370,2024216160,法学23-2班,72,73,57,45,D-
樊春梅,330424XXXXXXXX6583,2024216161,城市地下空间23-1班,88,89,58,89,E
魏建,640301XXXXXXXX9327,2024216162,新能源23-3班,88,95,92,39,A+
孙坤,620922XXXXXXXX226X,2024216163,电信科23-3班,49,87,29,71,D-
池琳,310115XXXXXXXX6653,2024216164,城市地下空间23-3班,93,64,59,73,C+
温玉梅,331122XXXXXXXX5061,2024216165,环境23-1班,80,55,70,69,A
杨辉,231201XXXXXXXX1662,2024216166,计算机23-3班,67,70,62,78,E
班海燕,513327XXXXXXXX7256,2024216167,环境23-2班,57,78,22,100,B-
吴红梅,632800XXXXXXXX3045,2024216168,化工23-1班,71,89,51,42,D+
孟磊,640324XXXXXXXX235X,2024216169,电信科23-2班,55,99,76,48,E
李玉梅,411121XXXXXXXX7282,2024216170,新能源23-1班,90,44,41,57,B
章明,210281XXXXXXXX5172,2024216171,食品23-2班,89,25,77,97,C-
骆桂珍,621124XXXXXXXX2042,2024216172,自动化23-1班,54,25,56,90,A-
李霞,511800XXXXXXXX8432,2024216173,化工23-1班,81,27,23,69,A-
杨杨,410600XXXXXXXX4459,2024216174,物流管理23-1班,58,50,87,40,C+
张东,150422XXXXXXXX1503,2024216175,新能源23-3班,55,37,95,43,C
张伟,621223XXXXXXXX6869,2024216176,广告23-2班,94,55,68,76,A
刘坤,451227XXXXXXXX1103,2024216177,计算机23-3班,85,70,37,48,A+
谢杨,360821XXXXXXXX8103,2024216178,经济23-2班,86,35,73,75,C+
陆峰,532627XXXXXXXX0530,2024216179,新媒体23-3班,55,46,41,44,C+
杨桂香,371623XXXXXXXX6794,2024216180,食品23-3班,77,67,83,99,D-
陈云,360822XXXXXXXX2980,2024216181,物流管理23-3班,51,28,94,81,B-
金刚,530825XXXXXXXX1013,2024216182,电信科23-1班,91,82,22,94,D
王楠,654224XXXXXXXX8416,2024216183,食品23-3班,53,62,58,37,B-
孙玉华,542126XXXXXXXX4882,2024216184,土木工程23-2班,76,93,63,89,D-
武玉兰,620825XXXXXXXX6430,2024216185,机械工程23-1班,77,51,58,47,A+
郭超,150822XXXXXXXX9147,2024216186,新能源23-3班,51,67,98,42,D-
赵宇,231223XXXXXXXX2588,2024216187,机械工程23-3班,86,62,38,88,C
顾婷,532528XXXXXXXX816X,2024216188,食品23-3班,65,34,75,96,C+
罗刚,230202XXXXXXXX7113,2024216189,电信科23-3班,75,86,36,62,E
郭淑珍,430700XXXXXXXX9352,2024216190,自动化23-2班,55,45,19,76,A+
杨涛,140822XXXXXXXX5608,2024216191,城市地下空间23-1班,67,78,25,88,D+
周云,610400XXXXXXXX9163,2024216192,土木工程23-3班,96,47,84,95,A-
赵晨,140429XXXXXXXX2929,2024216193,土木工程23-3班,74,40,40,71,C-
陆博,220621XXXXXXXX0088,2024216194,土木工程23-3班,74,65,31,86,A+
李文,421101XXXXXXXX7384,2024216195,电信科23-2班,65,26,30,52,A
王勇,520421XXXXXXXX0405,2024216196,新媒体23-3班,91,94,16,54,A+
梁平,360923XXXXXXXX1625,2024216197,物流管理23-1班,54,54,73,40,C
徐淑兰,370602XXXXXXXX1317,2024216198,环境23-2班,73,50,16,41,D
沈平,431322XXXXXXXX8807,2024216199,机械工程23-2班,69,26,46,58,B
杜丽丽,451228XXXXXXXX6613,2024216200,电信科23-3班,70,75,18,73,D-
申小红,330783XXXXXXXX7380,2024216201,自动化23-2班,97,42,53,99,C
张婷,620401XXXXXXXX8751,2024216202,自动化23-3班,48,51,37,67,A-
龙凤英,320105XXXXXXXX9494,2024216203,城市地下空间23-2班,66,61,71,50,D-
李健,330803XXXXXXXX2951,2024216204,土木工程23-2班,60,68,30,92,C+
纪琳,511401XXXXXXXX5524,2024216205,环境23-2班,74,40,26,39,A
杨斌,510106XXXXXXXX0746,2024216206,计算机23-1班,52,78,75,63,D-
杨霞,340602XXXXXXXX5271,2024216207,电信科23-2班,93,62,45,62,C+
吴玉兰,150202XXXXXXXX6311,2024216208,新能源23-3班,89,68,30,60,E
董磊,530900XXXXXXXX8220,2024216209,环境23-3班,74,97,48,45,B
李红霞,510115XXXXXXXX5319,2024216210,物流管理23-3班,97,37,60,75,C+
王志强,431227XXXXXXXX259X,2024216211,城市地下空间23-3班,62,39,93,50,E
王娜,440112XXXXXXXX4207,2024216212,机械工程23-3班,73,28,82,65,A-
郭建平,542127XXXXXXXX3621,2024216213,法学23-2班,71,83,37,99,B-
修秀珍,511421XXXXXXXX7834,2024216214,法学23-2班,89,29,61,37,C-
秦红霞,610522XXXXXXXX9544,2024216215,英语23-1班,97,37,47,73,D
朱桂香,512002XXXXXXXX0638,2024216216,自动化23-2班,70,79,43,43,A+
蔡军,653127XXXXXXXX3805,2024216217,食品23-1班,66,37,31,81,B+
韩颖,632821XXXXXXXX5037,2024216218,新媒体23-1班,63,78,20,85,E
李丽华,220000XXXXXXXX5678,2024216219,计算机23-3班,60,34,83,79,B
陈丽娟,220582XXXXXXXX3967,2024216220,土木工程23-1班,79,84,41,47,B-
叶艳,341525XXXXXXXX9801,2024216221,法学23-2班,99,49,66,88,A-
梁秀华,140200XXXXXXXX0626,2024216222,化工23-3班,54,45,20,44,B
林强,410302XXXXXXXX8376,2024216223,电信科23-2班,60,84,33,88,B+
朱岩,430781XXXXXXXX7456,2024216224,自动化23-1班,62,69,92,75,C-
唐凤兰,130582XXXXXXXX6458,2024216225,新能源23-3班,55,59,67,80,A
王明,360922XXXXXXXX0301,2024216226,电信科23-1班,72,63,70,37,D+
金飞,411425XXXXXXXX9484,2024216227,城市地下空间23-3班,74,62,97,41,A-
刘春梅,632800XXXXXXXX1595,2024216228,计算机23-1班,75,33,100,90,A+
卢宁,371423XXXXXXXX3849,2024216229,物流管理23-3班,77,57,77,54,C-
何琳,652825XXXXXXXX5633,2024216230,机械工程23-3班,60,67,20,81,A
赵桂珍,513424XXXXXXXX7744,2024216231,土木工程23-3班,53,66,78,93,A+
黄鹏,410108XXXXXXXX3793,2024216232,自动化23-3班,63,87,38,90,A
顾金凤,411323XXXXXXXX6201,2024216233,物流管理23-3班,62,75,37,73,E
张桂花,640422XXXXXXXX746X,2024216234,电信科23-2班,94,54,64,37,E
文利,371625XXXXXXXX4807,2024216235,英语23-2班,53,100,95,57,A+
张红梅,430426XXXXXXXX3121,2024216236,化工23-1班,91,54,98,84,A
马玲,610729XXXXXXXX7551,2024216237,新能源23-3班,86,32,30,95,D-
袁秀云,371522XXXXXXXX0069,2024216238,经济23-1班,75,68,51,56,C-
陈淑英,371321XXXXXXXX5902,2024216239,电信科23-2班,77,60,33,47,D
李雷,520112XXXXXXXX8035,2024216240,土木工程23-1班,49,78,57,47,D+
方桂兰,510901XXXXXXXX2553,2024216241,英语23-2班,95,43,26,93,B-
韩燕,360601XXXXXXXX2534,2024216242,新媒体23-3班,51,88,97,44,E
覃桂香,430725XXXXXXXX3507,2024216243,食品23-2班,87,68,20,92,A
邵杰,621123XXXXXXXX2663,2024216244,英语23-2班,86,83,42,97,D-
李彬,621200XXXXXXXX6493,2024216245,计算机23-2班,84,74,74,76,D-
阎霞,210402XXXXXXXX3699,2024216246,英语23-1班,46,95,75,87,D
严建平,652922XXXXXXXX2661,2024216247,经济23-3班,77,80,28,81,B+
王琳,361027XXXXXXXX270X,2024216248,经济23-2班,96,68,23,64,D
苑鹏,360427XXXXXXXX3965,2024216249,新媒体23-3班,58,44,20,79,B+
熊林,370306XXXXXXXX8466,2024216250,食品23-3班,91,64,88,99,C-
李丹丹,321182XXXXXXXX3363,2024216251,新能源23-1班,69,55,30,91,B+
陈晶,511826XXXXXXXX2149,2024216252,电信科23-1班,80,60,60,56,D-
周玉梅,410883XXXXXXXX9722,2024216253,电信科23-3班,51,70,22,38,A
徐芳,361121XXXXXXXX5772,2024216254,经济23-2班,52,35,66,56,A
刘兰英,340504XXXXXXXX9144,2024216255,自动化23-3班,58,58,47,85,C
佟辉,360732XXXXXXXX0173,2024216256,电信科23-3班,66,32,79,74,D+
刘凤英,620500XXXXXXXX1802,2024216257,机械工程23-3班,80,60,93,75,C-
张宁,350504XXXXXXXX6691,2024216258,电信科23-2班,46,48,97,81,B
吕波,140700XXXXXXXX2147,2024216259,城市地下空间23-3班,73,59,92,54,D
谭冬梅,371083XXXXXXXX0726,2024216260,新能源23-1班,65,59,42,41,B-
马芳,450108XXXXXXXX2577,2024216261,自动化23-2班,57,26,77,40,C
罗帅,451322XXXXXXXX7236,2024216262,自动化23-2班,97,25,46,77,B-
蔡慧,441303XXXXXXXX4545,2024216263,环境23-1班,70,46,40,48,C+
徐璐,533300XXXXXXXX2060,2024216264,新能源23-2班,74,64,54,69,B
郝燕,440112XXXXXXXX5475,2024216265,自动化23-1班,94,30,33,89,D+
马颖,210921XXXXXXXX1386,2024216266,广告23-3班,61,59,20,76,C
吴宁,530381XXXXXXXX8726,2024216267,广告23-3班,56,47,62,58,A
潘海燕,360735XXXXXXXX1215,2024216268,经济23-1班,70,70,46,87,E
吴玉兰,140424XXXXXXXX8553,2024216269,英语23-2班,58,80,60,96,B
韩玉梅,320703XXXXXXXX1121,2024216270,化工23-1班,55,41,54,84,E
田萍,150621XXXXXXXX189X,2024216271,计算机23-3班,84,35,38,46,B+
冉志强,320803XXXXXXXX5997,2024216272,经济23-3班,99,74,21,79,C
王波,533300XXXXXXXX8112,2024216273,机械工程23-2班,75,97,84,77,B-
高海燕,610401XXXXXXXX1162,2024216274,城市地下空间23-2班,97,92,93,98,C-
梁丽,450102XXXXXXXX8116,2024216275,机械工程23-2班,83,98,91,93,A
梁婷,321111XXXXXXXX1226,2024216276,食品23-1班,85,39,99,41,E
陈刚,141032XXXXXXXX1966,2024216277,环境23-2班,61,71,70,67,D-
张晶,440400XXXXXXXX2592,2024216278,经济23-2班,69,64,97,66,E
晏娟,220801XXXXXXXX4738,2024216279,土木工程23-1班,46,98,85,39,B
童岩,530502XXXXXXXX4324,2024216280,化工23-3班,54,67,24,68,C-
萧颖,120113XXXXXXXX1746,2024216281,新媒体23-1班,97,71,73,37,A-
刘莉,220605XXXXXXXX5742,2024216282,自动化23-1班,79,90,85,86,C
邓桂芝,450327XXXXXXXX7083,2024216283,土木工程23-2班,75,66,69,66,A
张文,152524XXXXXXXX430X,2024216284,城市地下空间23-3班,55,46,20,38,D-
周志强,230707XXXXXXXX830X,2024216285,经济23-2班,81,44,83,60,D+
李琴,510421XXXXXXXX2874,2024216286,广告23-3班,69,37,94,86,B
熊娜,410900XXXXXXXX4953,2024216287,英语23-2班,54,96,56,72,D
齐利,542627XXXXXXXX3203,2024216288,新媒体23-2班,47,89,99,67,B+
樊娟,211322XXXXXXXX0367,2024216289,法学23-1班,49,61,100,36,E
赵凤兰,522636XXXXXXXX3678,2024216290,自动化23-1班,82,35,37,41,C-
牟冬梅,530700XXXXXXXX389X,2024216291,化工23-2班,75,51,57,37,C+
陈帆,130603XXXXXXXX7909,2024216292,经济23-2班,46,36,87,38,C-
郑淑兰,440982XXXXXXXX3740,2024216293,土木工程23-3班,49,66,90,84,A+
李鑫,360321XXXXXXXX3064,2024216294,城市地下空间23-3班,87,40,99,93,C
陈秀芳,542121XXXXXXXX0365,2024216295,电信科23-3班,57,47,69,84,B-
龙雪,532628XXXXXXXX350X,2024216296,机械工程23-1班,55,88,44,80,C+
敖颖,320404XXXXXXXX8775,2024216297,物流管理23-1班,76,83,34,71,A-
李帆,522628XXXXXXXX2265,2024216298,土木工程23-3班,79,99,57,72,C+
唐冬梅,530630XXXXXXXX2942,2024216299,广告23-3班,80,35,94,78,C-
王旭,500230XXXXXXXX065X,2024216300,机械工程23-1班,76,51,73,81,D+
杨桂芝,632726XXXXXXXX7087,2024216301,物流管理23-1班,97,29,59,45,A+
裴秀荣,610901XXXXXXXX7363,2024216302,计算机23-2班,65,28,19,46,C
贺桂兰,350201XXXXXXXX5655,2024216303,食品23-3班,66,97,16,92,D-
杨秀梅,130683XXXXXXXX3389,2024216304,广告23-2班,98,38,73,93,C-
石波,210900XXXXXXXX7452,2024216305,法学23-1班,84,57,35,80,B+
齐桂花,141121XXXXXXXX4640,2024216306,电信科23-2班,48,39,59,50,B+
田秀云,320312XXXXXXXX5891,2024216307,自动化23-2班,83,38,91,68,C-
吴伟,620000XXXXXXXX9196,2024216308,新能源23-3班,100,72,75,100,C-
左欢,350128XXXXXXXX5149,2024216309,经济23-2班,71,80,33,64,B-
李建军,520500XXXXXXXX0254,2024216310,法学23-3班,86,41,59,66,D+
施淑珍,360827XXXXXXXX3030,2024216311,化工23-3班,70,37,16,58,A
刘桂珍,620000XXXXXXXX9102,2024216312,自动化23-2班,96,26,33,83,B+
何俊,220600XXXXXXXX982X,2024216313,广告23-3班,60,61,95,100,C+
葛强,654221XXXXXXXX8553,2024216314,新能源23-1班,95,70,26,65,D-
何静,621221XXXXXXXX9659,2024216315,化工23-3班,66,78,99,89,B+
刘桂兰,533102XXXXXXXX9809,2024216316,新媒体23-1班,70,65,49,71,C+
许林,130628XXXXXXXX0382,2024216317,自动化23-3班,78,33,51,97,A+
何建,650202XXXXXXXX4782,2024216318,电信科23-1班,93,55,60,60,C-
张玉兰,430103XXXXXXXX0974,2024216319,城市地下空间23-1班,55,29,22,48,A
陈英,330122XXXXXXXX929X,2024216320,经济23-3班,97,33,34,55,A-
黎桂芳,431224XXXXXXXX0437,2024216321,经济23-3班,53,74,50,93,C
赖宁,371327XXXXXXXX7076,2024216322,新媒体23-3班,64,97,66,100,D
丁利,410203XXXXXXXX5842,2024216323,物流管理23-1班,71,74,43,91,C+
罗阳,330212XXXXXXXX5994,2024216324,经济23-3班,96,95,48,96,D+
张淑英,360482XXXXXXXX7872,2024216325,经济23-2班,95,40,29,70,D+
张荣,210681XXXXXXXX8293,2024216326,机械工程23-3班,71,60,40,96,C-
赵秀云,440100XXXXXXXX0240,2024216327,英语23-3班,63,91,48,100,A+
胡莉,150104XXXXXXXX4229,2024216328,电信科23-1班,52,84,68,99,E
廖云,511922XXXXXXXX6061,2024216329,电信科23-3班,55,70,64,41,A-
金婷,520123XXXXXXXX996X,2024216330,自动化23-1班,48,31,73,94,C-
王平,632626XXXXXXXX7262,2024216331,计算机23-3班,88,73,20,60,B-
李凤英,654323XXXXXXXX7196,2024216332,食品23-2班,49,68,41,46,E
邓玉英,360100XXXXXXXX5535,2024216333,环境23-2班,48,96,98,48,A-
